content,a,b,c,d,correct_option
A number is divisible by 4 if its last two digits form a number that is divisible by which of the following?,4,2,3,5,A
"If the sum of digits of a number is divisible by 3, which of the following statements is true?",The number is divisible by 3,The number is divisible by 6,The number is divisible by 9,The number is divisible by 4,A
Which of the following numbers is NOT divisible by 5?,270,345,560,435,A
A number is divisible by 2 if it ends with which of the following digits?,"0, 2, 4, 6, or 8","1, 3, 5, 7, or 9",Only 0,Only even digits except zero,A
Which number among the following is divisible by both 2 and 3 but not by 5?,114,150,120,135,A
A number is divisible by 6 if it meets which of the following conditions?,It is divisible by both 2 and 3,It is divisible by 3 or 4,It is divisible by 2 or 3,It is divisible by 5 and 6,A
Which of the following numbers is divisible by 4 but not by 2?,None,124,132,76,A
"If a number ends with digit 5, which of the following is true?",It is divisible by 5 but not by 2,It is divisible by 2 but not by 5,It is divisible by both 2 and 5,It is divisible by 3,A
The number 1542 is divisible by which of the following numbers?,2 and 3,4 and 5,5 and 6,3 and 5,A
Which word was added to the Preamble of the Indian Constitution by the 42nd Amendment Act in 1976?,Secular,Sovereign,Republic,Democratic,A
The Preamble of the Indian Constitution declares India as a __________.,Sovereign Socialist Secular Democratic Republic,Socialist Secular Federal Republic,Sovereign Democratic Socialist Republic,Federal Democratic Republic,A
"Which feature of the Indian Constitution is reflected by the phrase 'Justice, social, economic and political' in the Preamble?",Equality,Justice,Liberty,Fraternity,B
The Preamble of the Indian Constitution was adopted on which date?,26th November 1949,26th January 1950,15th August 1947,15th August 1950,A
"A and B invest in a business. A invests Rs 10,000 for 6 months and B invests Rs 15,000 for 4 months. What is the ratio of their profits?",5 : 6,3 : 5,2 : 3,4 : 5,B
"A, B and C invest Rs 12,000, Rs 18,000 and Rs 24,000 respectively in a business for 3, 2 and 1 year respectively. What is the ratio of their profits?",6 : 6 : 6,18 : 18 : 24,36 : 36 : 24,36 : 36 : 12,C
What does the term 'Republic' in the Preamble signify about India's political system?,Head of state is elected and not hereditary,The country is ruled by a monarch,The country follows theocratic rule,The constitution is unwritten,A
"A and B start a business by investing Rs 25,000 and Rs 30,000 respectively. After 6 months, A withdraws Rs 10,000 and B invests an additional Rs 10,000. What is the ratio of their investments?","55,000 : 60,000","40,000 : 45,000","30,000 : 40,000","30,000 : 50,000",B
"A and B invest in a partnership. A invests Rs 20,000 for 8 months and B invests Rs 25,000 for 6 months. If total profit is Rs 9,000, what is B’s share?","Rs 4,500","Rs 3,750","Rs 5,000","Rs 3,000",B
"A, B and C invest Rs 6,000, Rs 8,000 and Rs 10,000 respectively for 2, 3 and 4 months. What will be the ratio of their profits?",12 : 24 : 40,6 : 8 : 10,3 : 4 : 5,1 : 2 : 3,A
"A and B start a business by investing Rs 18,000 and Rs 24,000. After 4 months, A withdraws Rs 6,000 and B invests an additional Rs 6,000. If the total profit after 12 months is Rs 14,400, what is A's share?","Rs 6,000","Rs 7,200","Rs 8,400","Rs 9,600",B
"A invests Rs 20,000 for 9 months and B invests Rs 25,000 for 6 months in a partnership. Find the ratio of their investments.",30 : 25,15 : 25,20 : 30,60 : 50,D
"A, B and C invest Rs 15,000, Rs 25,000 and Rs 30,000 respectively. A and B invest for 6 months while C invests for 8 months. What is the ratio of their profits?",15 : 25 : 30,90 : 150 : 240,5 : 5 : 6,3 : 5 : 6,B
"A invests Rs 10,000 for 10 months and B invests Rs 15,000 for x months. If their profits are equal, find the value of x.",6 months,8 months,10 months,5 months,D
"A and B start a business. A invests Rs 40,000 for 5 months and B invests Rs 30,000 for 8 months. What is the ratio of their profits?",25 : 24,20 : 24,24 : 25,5 : 6,A
"Which of the following principles is emphasized in the Preamble by the words 'Liberty of thought, expression, belief, faith and worship'?",Liberty,Equality,Fraternity,Justice,A
The Preamble of the Indian Constitution is a part of which of the following?,Part I,Part II,It is not a part of the Constitution,Part III,C
Which feature of the Indian Constitution is highlighted by the term 'Fraternity' in the Preamble?,Unity and integrity of the nation,Judicial independence,Federal structure,Fundamental rights,A
Who is considered the 'Father of the Indian Constitution' who also played a key role in framing the Preamble?,Dr. B.R. Ambedkar,Mahatma Gandhi,Jawaharlal Nehru,Sardar Vallabhbhai Patel,A
"A grocer mixes rice at ₹40 per kg and ₹50 per kg. If the mixture is sold at ₹45 per kg, in what ratio should he mix the two varieties?",1:1,3:2,2:3,1:2,C
Two varieties of tea costing ₹60/kg and ₹90/kg are mixed to get a mixture worth ₹75/kg. What is the ratio in which they are mixed?,1:2,2:1,1:1,3:2,A
Which trophy is awarded to the winner of the National Football League in the United States?,Stanley Cup,Vince Lombardi Trophy,Heisman Trophy,Larry O'Brien Trophy,B
The Duleep Trophy is related to which sport?,Football,Kabaddi,Cricket,Hockey,C
Which cup is known as the oldest international hockey tournament trophy?,Hockey World Cup,Champions Trophy,Rashid Trophy,Beighton Cup,D
The Davis Cup is awarded in which sport?,Football,Tennis,Basketball,Cricket,B
"A and B can finish a work in 10 days working together. If A alone takes 15 days to finish the work, how long will B alone take?",20 days,25 days,30 days,18 days,A
